2023-12-09T10:07:18.069+05:30  INFO 12944 --- [main] h.a.SimplyFlyAirTicketBookingApplication : Starting SimplyFlyAirTicketBookingApplication using Java 17.0.8.1 with PID 12944 (C:\Users\USER\AirTicketBookingBackend\SimplyFly-AirTicketBooking\target\classes started by USER in C:\Users\USER\AirTicketBookingBackend\SimplyFly-AirTicketBooking)
2023-12-09T10:07:18.076+05:30  INFO 12944 --- [main] h.a.SimplyFlyAirTicketBookingApplication : No active profile set, falling back to 1 default profile: "default"
2023-12-09T10:07:20.416+05:30  INFO 12944 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-09T10:07:20.538+05:30  INFO 12944 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 107 ms. Found 7 JPA repository interfaces.
2023-12-09T10:07:21.628+05:30  INFO 12944 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-12-09T10:07:21.643+05:30  INFO 12944 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-12-09T10:07:21.643+05:30  INFO 12944 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-12-09T10:07:21.804+05:30  INFO 12944 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-12-09T10:07:21.805+05:30  INFO 12944 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3658 ms
2023-12-09T10:07:21.987+05:30  INFO 12944 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-12-09T10:07:22.116+05:30  INFO 12944 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.1.6.Final
2023-12-09T10:07:22.428+05:30  WARN 12944 --- [main] org.hibernate.orm.deprecation            : HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-12-09T10:07:22.593+05:30  INFO 12944 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-12-09T10:07:23.030+05:30  INFO 12944 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@15914bb5
2023-12-09T10:07:23.033+05:30  INFO 12944 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-12-09T10:07:23.154+05:30  INFO 12944 --- [main] SQL dialect                              : HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-12-09T10:07:24.740+05:30  INFO 12944 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-12-09T10:07:24.776+05:30  INFO 12944 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-12-09T10:07:26.123+05:30  WARN 12944 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-12-09T10:07:26.979+05:30  INFO 12944 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@190ec769, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27bd124a, org.springframework.security.web.context.SecurityContextHolderFilter@2a64e2d0, org.springframework.security.web.header.HeaderWriterFilter@7ba38cce, org.springframework.web.filter.CorsFilter@7902a4d7, org.springframework.security.web.authentication.logout.LogoutFilter@2d2c794d, com.hexaware.airticketbooking.filter.JwtAuthFilter@5f80b25a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@45dce9f7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9da20f1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@397a70d8, org.springframework.security.web.session.SessionManagementFilter@4e8036bb, org.springframework.security.web.access.ExceptionTranslationFilter@5effc15d, org.springframework.security.web.access.intercept.AuthorizationFilter@221383c9]
2023-12-09T10:07:27.411+05:30  INFO 12944 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2023-12-09T10:07:27.422+05:30  INFO 12944 --- [main] h.a.SimplyFlyAirTicketBookingApplication : Started SimplyFlyAirTicketBookingApplication in 9.888 seconds (process running for 11.072)
2023-12-09T10:25:27.179+05:30  WARN 12944 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m4s22ms439µs700ns).
2023-12-09T10:47:32.158+05:30  INFO 12944 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-09T10:47:32.159+05:30  INFO 12944 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-12-09T10:47:32.185+05:30  INFO 12944 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 25 ms
2023-12-09T10:47:32.360+05:30  INFO 12944 --- [http-nio-8080-exec-2] c.h.a.controller.LoginRestController     : Received request for user login for username: yashwanth
2023-12-09T10:47:40.128+05:30  INFO 12944 --- [http-nio-8080-exec-3] c.h.a.controller.LoginRestController     : Received request for user login for username: yashwanth
2023-12-09T10:47:40.222+05:30  INFO 12944 --- [http-nio-8080-exec-3] c.h.a.services.JwtService                : Generating token for username: yashwanth
2023-12-09T10:47:40.223+05:30  INFO 12944 --- [http-nio-8080-exec-3] c.h.a.services.JwtService                : Creating token for username: yashwanth
2023-12-09T10:47:40.267+05:30  INFO 12944 --- [http-nio-8080-exec-3] c.h.a.controller.LoginRestController     : User login successful for username: yashwanth
2023-12-09T10:47:52.419+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Extracting username from token
2023-12-09T10:47:52.420+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:52.474+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Extracting username from token
2023-12-09T10:47:52.474+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:52.476+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Validating token for username: yashwanth
2023-12-09T10:47:52.476+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Checking if token is expired
2023-12-09T10:47:52.476+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Extracting expiration from token
2023-12-09T10:47:52.476+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:52.490+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.controller.UserRestController      : Received request to get all registered users
2023-12-09T10:47:52.491+05:30  INFO 12944 --- [http-nio-8080-exec-7] c.h.a.services.UserServiceImp            : User Service Implementation-Fetching all users from the repository
2023-12-09T10:47:54.092+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Extracting username from token
2023-12-09T10:47:54.092+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:54.097+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Extracting username from token
2023-12-09T10:47:54.097+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:54.099+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Validating token for username: yashwanth
2023-12-09T10:47:54.099+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Checking if token is expired
2023-12-09T10:47:54.099+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Extracting expiration from token
2023-12-09T10:47:54.099+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:54.102+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.controller.TicketRestController    : Received request to view all ticket details
2023-12-09T10:47:54.103+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.TicketServiceimp          : Ticket Service Implementation - Fetching all tickets.
2023-12-09T10:47:54.220+05:30  INFO 12944 --- [http-nio-8080-exec-9] c.h.a.services.TicketServiceimp          : Ticket Service Implementation - All tickets fetched successfully.
2023-12-09T10:47:58.763+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Extracting username from token
2023-12-09T10:47:58.763+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:58.772+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Extracting username from token
2023-12-09T10:47:58.772+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:58.775+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Validating token for username: yashwanth
2023-12-09T10:47:58.775+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Checking if token is expired
2023-12-09T10:47:58.775+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Extracting expiration from token
2023-12-09T10:47:58.775+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.JwtService                : Extracting all claims from token
2023-12-09T10:47:58.779+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.c.FlightOwnerRestController        : Received request to get all flight owners
2023-12-09T10:47:58.779+05:30  INFO 12944 --- [http-nio-8080-exec-1] c.h.a.services.FlightownerServiceImp     : Flight Owner Service Implementation - Fetching all Flight Owners
2023-12-09T10:47:59.917+05:30  INFO 12944 --- [http-nio-8080-exec-3] c.h.a.services.JwtService                : Extracting username from token
2023-12-09T10:47:59.918+05:30  INFO 12944 --- [http-nio-8080-exec-3] c.h.a.services.JwtService                : Extracting all claims from token
